ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status
0-262-03258-9,From Barbie to Mortal Kombat: Gender and Computer Games,,The MIT Press,360,1998-11-06,"Computer games--Social aspects, Computer games--Social aspects--Congresses, Games for girls, Games for girls--Congresses, GV1469.17.S63 F76 1998, 306.4/87/0285",Hardcover,"Many Parents Worry About The Influence Of Video Games On Their Children's Lives. The Game Console May Help To Prepare Children For Participation In The Digital World, But At The Same Time It Socializes Boys Into Misogyny And Excludes Girls From All But The Most Objectified Positions. The New Girls' Games Movement Has Addressed These Concerns. The Contributors To From Barbie To Mortal Kombat Explore How Assumptions About Gender, Games, And Technology Shape The Design, Development, And Marketing Of Games As Industry Seeks To Build The Girl Market. They Describe And Analyze The Games Currently On The Market And Propose Tactical Approaches For Avoiding The Stereotypes That Dominate Most Toy Store Aisles. The Lively Mix Of Perspectives And Voices Includes Those Of Media And Technology Scholars, Educators, Psychologists, Developers Of Today's Leading Games, Industry Insiders, And Girl Gamers.--jacket. Chess For Girls? Feminism And Computer Games / Justine Cassell And Henry Jenkins -- Computer Games For Girls : What Makes Them Play? / Kaveri Subrahmanyam And Patricia M. Greenfield -- Girl Games And Technological Desire / Cornelia Brunner, Dorothy Bennett, And Margaret Honey -- Video Game Designs By Girls And Boys : Variability And Consistency Of Gender Differences / Yasmin B. Kafai -- Interview With Brenda Laurel (purple Moon) ; Interview With Nancie S. Martin (mattel) ; Interview With Heather Kelley (girl Games) ; Interviews With Theresa Duncan And Monica Gesue (chop Suey) ; Interview With Lee Mcenany Caraher (sega) ; Interview With Marsha Kinder (intertexts Multimedia) / Interviews Conducted By Jennifer Glos And Shari Goldin -- Retooling Play : Dystopia, Dysphoria, And Difference / Suzanne De Castell And Mary Bryson -- Complete Freedom Of Movement : Video Games As Gendered Play Spaces / Henry Jenkins -- Storytelling As A Nexus Of Change In The Relationship Between Gender And Technology : A Feminist Approach To Software Design / Justine Cassell -- Voices From The Combat Zone : Game Grrlz Talk Back. Edited By Justine Cassell And Henry Jenkins. Includes Bibliographical References And Index.",en,,"Height: 9 Inches, Length: 7 Inches, Weight: 1.9510910187 Pounds, Width: 1.2 Inches",0.00,https://images.isbndb.com/covers/25/82/9780262032582.jpg,Success
1-56455-669-7,"You Already Know What to Do: Everyday Intuition for Relationships, Career and Spiritual Development","Fanquemont, Sharon","Sounds True, Incorporated",,1999-09-01,,Audio Cassette,,en,,"Height: 7 Inches, Length: 4.5 Inches, Weight: 0.29982867632 Pounds, Width: 0.75 Inches",18.95,https://images.isbndb.com/covers/66/91/9781564556691.jpg,Success
1-56023-952-2,Navigating Differences: Friendships Between Gay and Straight Men,Jammie Price,Routledge,188,1998-12-02,,Paperback,,en,1,"Height: 8.5 Inches, Length: 6 Inches, Weight: 0.771617917 Pounds, Width: 0.5 Inches",0.00,https://images.isbndb.com/covers/95/29/9781560239529.jpg,Success
0-9644593-6-1,Detecting Women: A Readers Guide and Checklist for Mystery Series Written by Women,"Heising, Willetta L.",Purple Moon Pr,478,1999,,Paperback,,en,3,"Height: 11.25 Inches, Length: 8.75 Inches, Weight: 3 Pounds, Width: 1.25 Inches",34.95,https://images.isbndb.com/covers/93/66/9780964459366.jpg,Success
0-375-50010-3,The New American Spirituality: A Seeker's Guide,"Lesser, Elizabeth",Random House,436,1999-06-01,,Hardcover,,en,1,"Height: 9.75 Inches, Length: 6.75 Inches, Weight: 1 Pounds, Width: 1.5 Inches",25.95,https://images.isbndb.com/covers/01/07/9780375500107.jpg,Success
1-896764-10-X,A Gift for Gita,"Gilmore, Rachna",Second Story Press,24,1998-10-19,"Children's Fiction, Family",Paperback,,en,,"Height: 8.48 Inches, Length: 8.48 Inches, Weight: 0.18518830008 Pounds, Width: 0.1 Inches",5.95,https://images.isbndb.com/covers/41/08/9781896764108.jpg,Success
0-9644593-5-3,Detecting Women: A Readers Guide and Checklist for Mystery Series Written by Women,"Heising, Willetta L.",Purple Moon Pr,478,1999,,Hardcover,,en,3,"Height: 11.5 Inches, Length: 9 Inches, Weight: 3.65 Pounds, Width: 1.5 Inches",44.95,https://images.isbndb.com/covers/93/59/9780964459359.jpg,Success
1-883523-30-3,Conferences Are Murder: The Fourth Lindsay Gordon Mystery,Val McDermid,Spinsters Ink,236,1999,,Paperback,,en,Reprint,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.65 Pounds, Width: 0.5 Inches",12,https://images.isbndb.com/covers/33/05/9781883523305.jpg,Success
88-291-5202 1,,,,,,,,,,,,,,Error
0-15-100388-2,Moonlight on the Avenue of Faith,"Nahai, Gina B.",Harcourt,376,1999-03-20,,Hardcover,"An Abandoned Girl's Story, Set Against The Background Of Revolution In Iran. The Girl's Mother Flees Her Home When Her Extra-marital Affair Is Discovered, While The Daughter Is Sent To A Boarding School In California. It Will Be 13 Years Before They Are Reunited. Gina B. Nahai.",en,First Edition,"Height: 9.75 Inches, Length: 6.5 Inches, Weight: 1.45 Pounds, Width: 1.25 Inches",24,https://images.isbndb.com/covers/38/84/9780151003884.jpg,Success
0-88899-337-4,"Stella, Star of the Sea (Stella and Sam, 5)",,Groundwood Books,32,1999-03-04,,Hardcover,"<p><p>stella And Her Little Brother Are Spending The Day At The Beach. Stella Has Been To The Seashore Before And Knows All Its Secrets, But Sam Still Has A Lot Of Questions. Does A Moonsnail Come From The Moon? What Can You Buy With A Sand Dollar? Stella Has Answers For Them All. The Only Thing She's Not Sure About Is Whether Sam Will Ever Come Into The Water. Through Exquisite Watercolors, This Book Brings To Life A Perfect Summer Day And The Sweet And Funny Relationship Between An Older Sister And Her Baby Brother.<p></p><h3>children's Literature</h3><p>charming, Impish Stella, Sam, And Dog Fred Spend A Day At The Seashore In This Added Title About Their Adventures. Big Sister Stella Is Sam's Guide To His First Visit To The Ocean, Since She Knows All Its Secrets. Sam Is Concerned And Hesitant, Although Stella Is Reassuring. She Is Also A Well Of Delightful Misinformation About Everything From Starfish And Shells To Sharks And Sea Horses. She Keeps Urging Sam To Come Into The Water But Sam Is Still Reluctant. They Dig A Hole, Then Go Fishing. Finally Sam Is Ready To Join Her And Fred To Float Smiling In The Sea. Double-page Spreads Depict A Typical Seashore With Sand Dollars, Sail Boats, And Sea Birds. As Usual, Gay Creates Adorable Youngsters Engaged In Activities That Invite Us To Join In. Her Lines Are Delicate; Her Transparent Watercolors Produce Naturalistic Scenes. The Text Ignores Fred, But His Behavior Adds To The Visual Fun. Reviewer: Ken Marantz And Sylvia Marantz</p>",en,Assumed First Edition,"Height: 9.5 Inches, Length: 9.5 Inches, Weight: 0.8 Pounds, Width: 0.5 Inches",15.95,https://images.isbndb.com/covers/33/73/9780888993373.jpg,Success
1-880000-70-9,Elizabeti's Doll,"Stuve-Bodeen, Stephanie",Lee & Low Books,32,1998,,Hardcover,,en,,"Height: 10 Inches, Length: 9.25 Inches, Weight: 0.8046872563 Pounds, Width: 0.5 Inches",16.95,https://images.isbndb.com/covers/07/00/9781880000700.jpg,Success
0-7890-0621-9,Infidelity,"Rooney, William",Harrington Park Pr,214,1998,,Hardcover,,en,First Edition,"Height: 9.25 Inches, Length: 6.25 Inches, Weight: 1.19931470528 Pounds, Width: 0.75 Inches",44.95,https://images.isbndb.com/covers/62/19/9780789006219.jpg,Success
1-55861-219-X,Making Women's History: The Essential Mary Ritter Beard,"Ritter Beard, Mary",The Feminist Press at CUNY,272,2001-03-01,"Women & Education, Feminism & Feminist Theory, Women's History - U.S. - General & Miscellaneous, Women's History - Suffrage",Paperback,"<p>Mary Ritter Beard was the single most important advocate and practioner of womenâs historyâ¦She virtually invented the field, said historian and professor Barbara Sicherman of this visionary and ground-breaking historian who devoted her life to reconstructing womenâs past-a past that had remained largely unstudied, undocumented, and unacknowledged. Beard held a firm conviction that women had a far greater impact on history than male historians had ever recognized and she believed that a knowledge of their own history would enable women to realize their full potential as active members of society. With this essential-and accessible-selection from her writings and speeches, Ann J. Lane restores Beard to her well-deserved place at the core of early-twentieth-century feminist history and theory.</p><p><b>Mary Ritter Beard</b> (1876-1958) was co-author, with Charles Beard, of <i>The Rise of American Civilization</i> and author of many other books.</p><p><b>Ann J. Lane</b> is professor of history and director of womenâs studies at the University of Virginia and is author of <i>To Herland and Beyond: The Life and Work of Charlotte Perkins Gilman.</i></p>",en,Reprint,"Height: 8.4 Inches, Length: 5.5 Inches, Weight: 0.78043640748 Pounds, Width: 0.8 Inches",14.95,https://images.isbndb.com/covers/21/98/9781558612198.jpg,Success
0-292-77088-X,Mary Shelley: A Literary Life (Literary Lives),"Williams, John",Palgrave Macmillan,218,2000-03-31,"Art, History",Hardcover,"<p>Beginning in Paris in the 1920s, women poets, essayists, painters, and artists in other media have actively collaborated in defining and refining surrealism's basic project-achieving a higher, open, and dynamic consciousness, from which no aspect of the real or the imaginary is rejected. Indeed, few artistic or social movements can boast as many women forebears, founders, and participants-perhaps only feminism itself. Yet outside the movement, women's contributions to surrealism have been largely ignored or simply unknown.<br> This anthology, the first of its kind in any language, displays the range and significance of women's contributions to surrealism. Letting surrealist women speak for themselves, Penelope Rosemont has assembled nearly three hundred texts by ninety-six women from twenty-eight countries. She opens the book with a succinct summary of surrealism's basic aims and principles, followed by a discussion of the place of gender in the movement's origins. She then organizes the book into historical periods ranging from the 1920s to the present, with introductions that describe trends in the movement during each period. Rosemont also prefaces each surrealist's work with a brief biographical statement.<br></p><h3>Library Journal</h3><p>Though surrealism has often been viewed as a male-dominated movement, women (many more than the few well-known artists such as Lenora Carrington and Frida Kahlo) have been integral to its development. In this first anthology of writings by women Surrealists, drawn from an impressively global group, Rosemont (Beware of the Ice and Other Poems, Black Swan, 1992) dives deeper than the extant writing on the movement to unearth the women involved since its inception. These varied writings--automatic texts, prose pieces, critical tracts, Surrealist inquiries (e.g., Would You Open the Door?), and results of Surrealist games (e.g., Time-Traveler's Potlatch)--offer a history of women's formative participation in surrealism's past and create a context for its future. Rosemont's insightful introduction, short essays prefacing each major period of the movement, and brief bibliographies illuminate a vibrant revolution in process. An important research tool as well as a fascinating read, this major contribution to art history and literary scholarship is highly recommended for academic and public libraries.--Rebecca Miller, Library Journal</p>",en,2000,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.89 Pounds, Width: 0.56 Inches",45,https://images.isbndb.com/covers/08/81/9780292770881.jpg,Success
0-688-16629-6,The Tao of Womanhood: Ten Lessons for Power and Peace,"Dreher, Diane",William Morrow Paperbacks,256,1999-03-17,,Paperback,"<p><p><i>the Tao Of Womanhood</i> Is For Every Woman Who Is Searching For Both External Power And Internal Peace. It's For The Woman Who Wants To Be Tough But Nice, Who Wants To Take Care Of Things And Everyone Else But Needs To Be Reminded To Look After Herself, Who Feels Pulled In Too Many Directions And Yearns To Live A Full, Balanced Life. It's For The Woman Who Wants To Be A Strong, Proactive Leader At Work And At Home, <i>and</i> Lead A Life Of Harmony And Inner Peace. <p>a Spiritual Resource That Combines The Wisdom Of The <i>tao Te Ching</i> With Straightforward Advice And Illuminating Anecdotes, <i>the Tao Of Womanhood</i> Is A Prescriptive, Practical Road Map. Using Taoist Principles, Teacher And Spiritualist Dreher Explains How Any Woman Can Learn To Incorporate Calm Into Her Busy Modern Life By Learning How To<p> <blockquote> <ul> <li>say No Without Feeling Guilty<br></li> <li>respond Without Being Frantic Or Reactive<br></li> <li>seize Opportunities<br></li> <li>summon The Strength To Change<br></li> <li>clear The Space Necessary For Continual Growth Transformation</li> </ul> </blockquote> <p>calm And Reassuring, <i>the Tao Of Womanhood</i> Imparts The Invigorating Message To All Women &#151; Whether Stay-at-home Moms Or Corporate Executives &#151; That Leading A Balanced And Fulfilling Life Does Not Mean Surrendering Peace Of Mind.</p> <h3>library Journal</h3> <p>although Dreher Often Combines Obvious Statements With Sappy Prose, E.g., As You Trace The Patterns In These Pages, You'll Find Yourself In Some Of Them, Her Soothing Book Will Give The Reader Many Good Ideas And Helpful Hints About Balancing Her Life. What Sets This Book Apart From Other Self-help Efforts Is The Combination Of Eastern And Western Ideas. An Instructor In Literature And Creative Writing At Santa Clara University And Author Of The Tao Of Inner Peace (harpercollins, 1991), Dreher Uses Terms From The Tao Such As Misogi (rituals Of Order), Ahisma (compassion), Yohaku (contemplation), And Musubi (honoring Your Own Energies With Those Around You) To Clarify Her Ideas. She Follows Each Chapter With Practical Pointers For Greater Power And Peace, Ways To Take Action Using The Ideas Presented. For Instance, To Develop Courage, Dreher Suggests That The Reader Study The Life Of A Woman She Admires By Reading A Biography About Her And Answering A List Of Questions. Both Informative And Encouraging, These Pointers Are Probably The Most Useful Aspect Of This Book. With A Helpful Glossary Of Terms; Recommended For Public Libraries.barbara O'hara, Free Lib. Of Philadelphia</p>",en,1,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 0.5291094288 Pounds, Width: 0.64 Inches",13.95,https://images.isbndb.com/covers/62/98/9780688166298.jpg,Success
